width,fraction_bits,sample_count,float_accuracy_pct,python_approx_accuracy_pct,hls_accuracy_pct,loss_vs_16_pp,loss_vs_float_pp,agreement_pct,logit_mae,logit_max_abs_error,lut,ff,dsp,bram_18k,latency_cycles_max,latency_ns_target,estimated_clock_ns,csim_status,synth_status,parse_status,eligible,error
8,2,10000,98.37,55.99,55.99,42.38999999999999,42.38,56.34,4.356895081796389,22.3214684,17775,11846,13,10,484443,4844430.0,7.3,ok,ok,ok,False,
9,3,10000,98.37,96.49,96.49,1.8900000000000006,1.8800000000000097,97.3,1.4158016958364195,8.096417695,17779,13071,13,10,484541,4845410.0,7.3,ok,ok,ok,False,
10,4,10000,98.37,98.0,98.0,0.37999999999999545,0.37000000000000455,99.0,0.6339431372071018,3.6074724000000007,17770,13140,13,11,484541,4845410.0,7.3,ok,ok,ok,True,
11,5,10000,98.37,98.29,98.29,0.0899999999999892,0.0799999999999983,99.54,0.3276796170920376,1.7996911999999998,17777,13220,13,13,484541,4845410.0,7.3,ok,ok,ok,True,
12,6,10000,98.37,98.3,98.3,0.0799999999999983,0.07000000000000739,99.85,0.15616426202860922,0.8114671700000002,17793,13301,13,13,484541,4845410.0,7.3,ok,ok,ok,True,
13,7,10000,98.37,98.4,98.4,-0.020000000000010232,-0.030000000000001137,99.88,0.09076740924987585,0.503516793,17835,13382,13,13,484541,4845410.0,7.3,ok,ok,ok,True,
14,8,10000,98.37,98.35,98.35,0.030000000000001137,0.020000000000010232,99.94,0.04019469650929578,0.22700209999999998,17882,13451,13,14,484541,4845410.0,7.3,ok,ok,ok,True,
15,9,10000,98.37,98.39,98.39,-0.010000000000005116,-0.01999999999999602,99.98,0.01879898342314841,0.099227905,17951,13535,13,14,484541,4845410.0,7.3,ok,ok,ok,True,
16,10,10000,98.37,98.38,98.38,0.0,-0.009999999999990905,99.99,0.009130186631889515,0.05871915999999988,18020,12815,13,14,484541,4845410.0,7.3,ok,ok,ok,True,
