tensor,count,minimum,maximum,weight_width,weight_integer,fractional_bits,saturated,zero_fraction,mse,max_abs_error
conv1_w,150,-0.42246365547180176,0.3954268991947174,16,6,10,0,0.006666666666666667,8.343732839426854e-08,0.00048401951789855957
conv1_w,150,-0.42246365547180176,0.3954268991947174,8,6,2,0,0.4666666666666667,0.0049927907952430906,0.12387555837631226
conv1_w,150,-0.42246365547180176,0.3954268991947174,8,1,7,0,0.013333333333333334,4.6215854151888046e-06,0.0038484781980514526
conv2_w,2400,-0.4028122127056122,0.3017645478248596,16,6,10,0,0.002916666666666667,7.814891568968456e-08,0.0004881620407104492
conv2_w,2400,-0.4028122127056122,0.3017645478248596,8,6,2,0,0.7995833333333333,0.0051354979865685275,0.12484073638916016
conv2_w,2400,-0.4028122127056122,0.3017645478248596,8,1,7,0,0.035,5.15567703799409e-06,0.003906168043613434
fc1_w,30720,-0.2667502462863922,0.28398290276527405,16,6,10,0,0.007486979166666667,7.968166405125776e-08,0.0004882737994194031
fc1_w,30720,-0.2667502462863922,0.28398290276527405,8,6,2,0,0.9680338541666667,0.0028142603548739387,0.12496425956487656
fc1_w,30720,-0.2667502462863922,0.28398290276527405,8,1,7,0,0.05211588541666667,5.027959564066285e-06,0.003906235098838806
fc2_w,10080,-0.28043365478515625,0.29463133215904236,16,6,10,0,0.004464285714285714,8.063716681917361e-08,0.0004882272332906723
fc2_w,10080,-0.28043365478515625,0.29463133215904236,8,6,2,0,0.9400793650793651,0.004136241305436883,0.12494447827339172
fc2_w,10080,-0.28043365478515625,0.29463133215904236,8,1,7,0,0.03591269841269841,5.060755555611349e-06,0.0039060190320014954
fc3_w,840,-0.3154347538948059,0.19517894089221954,16,6,10,0,0.0,8.216481429389441e-08,0.00048805028200149536
fc3_w,840,-0.3154347538948059,0.19517894089221954,8,6,2,0,0.7785714285714286,0.005736662849306382,0.12499330937862396
fc3_w,840,-0.3154347538948059,0.19517894089221954,8,1,7,0,0.02619047619047619,5.105026524614483e-06,0.0039007216691970825
